資訊時間,成交時間,商品代號,ITEM,成交價,成交量,總量,買單量,賣單量
8450547,8450541,TXFE7,128,9904,2,1781,540,834
8450547,8450541,TXFE7,128,9904,2,1783,541,836
8450547,8450545,TXFE7,128,9903,1,1784,542,837
8450547,8450546,TXFE7,128,9904,1,1785,543,838
8450559,8450547,TXFE7,128,9902,2,1787,545,839
8450559,8450548,TXFE7,128,9903,1,1788,546,840
8450559,8450548,TXFE7,128,9904,2,1790,547,842
8450559,8450548,TXFE7,128,9904,2,1792,548,843
8450559,8450551,TXFE7,128,9904,1,1793,549,844
8450559,8450551,TXFE7,128,9904,1,1794,550,845
8450559,8450551,TXFE7,128,9904,2,1796,551,847
8450559,8450554,TXFE7,128,9904,1,1797,552,848
8450559,8450555,TXFE7,128,9904,1,1798,553,849
8450559,8450555,TXFE7,128,9904,1,1799,554,850
8450559,8450557,TXFE7,128,9904,2,1801,555,852
8450559,8450557,TXFE7,128,9904,1,1802,556,853
8450559,8450557,TXFE7,128,9904,2,1804,557,855
8450559,8450558,TXFE7,128,9902,1,1805,558,856
8450559,8450559,TXFE7,128,9904,2,1807,559,857
8450572,8450561,TXFE7,128,9902,2,1809,561,858
8450572,8450567,TXFE7,128,9903,1,1810,562,859
8450572,8450571,TXFE7,128,9903,5,1815,563,861
8450584,8450574,TXFE7,128,9902,1,1816,564,862
8450584,8450576,TXFE7,128,9902,4,1820,567,863
8450584,8450576,TXFE7,128,9904,1,1821,568,864
8450584,8450576,TXFE7,128,9902,10,1831,571,865
8450597,8450586,TXFE7,128,9902,2,1833,573,866
8450597,8450592,TXFE7,128,9903,1,1834,574,867
8450597,8450595,TXFE7,128,9904,1,1835,575,868
8450609,8450597,TXFE7,128,9903,2,1837,576,869
8450609,8450599,TXFE7,129,9903,4,1842,577,872
8450609,8450599,TXFE7,129,9904,1,1842,577,872
8450609,8450600,TXFE7,128,9904,1,1843,578,873
8450609,8450602,TXFE7,128,9902,1,1844,579,874
8450609,8450607,TXFE7,128,9902,1,1845,580,875
8450609,8450607,TXFE7,129,9903,1,1853,581,880
8450609,8450607,TXFE7,129,9904,7,1853,581,880
8450622,8450615,TXFE7,128,9904,1,1854,582,881
8450634,8450624,TXFE7,128,9902,1,1855,583,882
8450634,8450624,TXFE7,128,9904,2,1857,584,884
8450647,8450635,TXFE7,128,9904,1,1858,585,885
8450647,8450641,TXFE7,128,9902,1,1859,586,886
8450647,8450643,TXFE7,128,9902,1,1860,587,887
8450672,8450662,TXFE7,128,9903,3,1863,588,890
8450672,8450668,TXFE7,128,9903,4,1867,589,893
8450672,8450670,TXFE7,128,9903,1,1868,590,894
